Funcionario;Est.civil;Inst;Filhos;Salario;Anos;Meses;Regiao
1;solteiro;1oGrau;NA;4.00;26;3;interior
2;casado;1oGrau;1;4.56;32;10;capital
3;casado;1oGrau;2;5.25;36;5;capital
4;solteiro;2oGrau;NA;5.73;20;10;outro
5;solteiro;1oGrau;NA;6.26;40;7;outro
6;casado;1oGrau;0;6.66;28;0;interior
7;solteiro;1oGrau;NA;6.86;41;0;interior
8;solteiro;1oGrau;NA;7.39;43;4;capital
9;casado;2oGrau;1;7.59;34;10;capital
10;solteiro;2oGrau;NA;7.44;23;6;outro
11;casado;2oGrau;2;8.12;33;6;interior
12;solteiro;1oGrau;NA;8.46;27;11;capital
13;solteiro;2oGrau;NA;8.74;37;5;outro
14;casado;1oGrau;3;8.95;44;2;outro
15;casado;2oGrau;0;9.13;30;5;interior
16;solteiro;2oGrau;NA;9.35;38;8;outro
17;casado;2oGrau;1;9.77;31;7;capital
18;casado;1oGrau;2;9.80;39;7;outro
19;solteiro;Superior;NA;10.53;25;8;interior
20;solteiro;2oGrau;NA;10.76;37;4;interior
21;casado;2oGrau;1;11.06;30;9;outro
22;solteiro;2oGrau;NA;11.59;34;2;capital
23;solteiro;1oGrau;NA;12.00;41;0;outro
24;casado;Superior;0;12.79;26;1;outro
25;casado;2oGrau;2;13.23;32;5;interior
26;casado;2oGrau;2;13.60;35;0;outro
27;solteiro;1oGrau;NA;13.85;46;7;outro
28;casado;2oGrau;0;14.69;29;8;interior
29;casado;2oGrau;5;14.71;40;6;interior
30;casado;2oGrau;2;15.99;35;10;capital
31;solteiro;Superior;NA;16.22;31;5;outro
32;casado;2oGrau;1;16.61;36;4;interior
33;casado;Superior;3;17.26;43;7;capital
34;solteiro;Superior;NA;18.75;33;7;capital
35;casado;2oGrau;2;19.40;48;11;capital
36;casado;Superior;3;23.30;42;2;interior
